Point,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
25,-0.040773479,5000.040773,4.69138323,-0.794398295,8.785812504,1.118264407,0.001662477,-2.282742523,0.783505889,6.400419789,3.009612795,999.9592265,6.2502E+14,-1.32766493,9.224636139,1.264646591,10.96901019,2.565608354,4.592155578,2.033783597
26,4.908144942,4995.091855,9.425238351,3.122260704,5.880494554,1.576335129,24.08988677,-2.129991658,-1.879032334,9.067511951,0.204543552,1004.908145,6.2255E+14,0.795621771,1.485861726,2.460901005,11.15568199,8.530126442,-3.618248267,2.353997796
27,-1.271914372,5001.271914,8.091922017,3.190848007,8.305636097,2.164401984,1.617766169,-0.81704298,0.751370061,4.236211455,-1.883164859,998.7280856,6.25636E+14,1.450399935,9.115795849,-0.417469227,1.369645778,-6.238414572,4.835701845,1.692820157
28,-0.377514282,5000.377514,4.502060722,-0.38708608,10.380236,2.838858108,0.142517033,1.745325024,-0.435680665,5.182575453,3.367406338,999.6224857,6.25189E+14,2.627886706,2.039077799,-1.978886169,9.434682162,0.319890813,5.200044881,2.13987982
29,6.006028345,4993.993972,7.790002025,-2.002957921,3.132509454,2.427444336,36.07237648,3.145561509,3.110762208,5.222526828,0.646498316,1006.006028,6.22002E+14,-2.292160278,5.289452505,-0.416708636,6.343249449,8.592652965,5.088241744,0.564246302
30,7.134403112,4992.865597,3.2474352,3.01915796,3.979546045,0.588420052,50.89970776,2.408340412,-2.306544471,2.259900991,0.196927355,1007.134403,6.2144E+14,2.27636748,7.663576239,1.455157569,6.367764669,8.190705162,11.15553536,0.72698921
31,-3.62243105,5003.622431,2.98673939,1.173361676,5.402545479,2.971877985,13.12200671,-1.269652472,-0.569347191,5.586573443,2.848405683,996.377569,6.26813E+14,-2.257894316,5.854161961,1.983446968,2.635291408,5.247913754,-8.233657241,2.615625695
32,-1.978598769,5001.978599,8.421228299,-1.699660194,3.703178025,0.9743597,3.914853088,-2.628349238,3.164903254,10.77550522,2.094893144,998.0214012,6.2599E+14,2.405289742,8.654723561,0.331197265,10.84500581,-6.841699307,6.511662974,1.199631987
33,5.099904748,4994.900095,7.230145287,1.228982487,8.687367215,1.497404318,26.00902844,-1.065641436,1.38163608,7.908730486,3.431411697,1005.099905,6.22454E+14,1.926863138,9.221758162,1.551380446,5.202897327,-4.355393382,10.50904789,3.073739127
34,-3.552291549,5003.552292,7.515317121,2.709820716,4.555418521,2.439527323,12.61877525,1.621608248,2.075823693,3.600265477,-0.943220049,996.4477085,6.26778E+14,-0.328648586,3.30114122,1.299708572,7.584818724,2.457619195,-0.219010459,-0.843660751
35,-6.820137231,5006.820137,1.645685683,1.907166773,2.867150102,0.268686098,46.51427186,1.7199148,2.179459241,5.784754794,3.930252233,993.1798628,6.28417E+14,0.333403796,5.025000678,-0.493923118,11.08071998,0.160582292,-1.7579677,2.324899427
36,4.55601521,4995.443985,11.25493606,-0.696998626,7.865819548,1.245631138,20.75727459,-2.661823802,2.225307562,5.993954599,2.343511001,1004.556015,6.22725E+14,-0.893220714,2.384829761,-0.97858873,4.663357449,-0.057334587,5.738615688,1.627966759
37,-0.094350006,5000.09435,4.565668322,-1.295679764,3.932729388,0.265446747,0.008901924,-0.79386592,0.054785223,2.194944529,2.992871209,999.90565,6.25047E+14,0.271399753,4.154744931,3.326837875,8.657359078,1.763486677,-5.164264364,1.625783489
38,3.61103801,4996.388962,11.37828637,0.453921902,3.854358509,2.903536848,13.03959551,-2.60439525,0.709742832,7.75021409,-0.709423843,1003.611038,6.23196E+14,-1.070708243,4.126201889,1.005475197,5.413366405,-7.287799958,-1.001056467,-0.14884898
39,-5.364214495,5005.364214,7.066194507,-1.275837286,4.684183268,1.130841247,28.77479715,-2.271102125,-2.437692751,7.560263855,-0.273481948,994.6357855,6.27686E+14,0.748437913,1.621938933,3.756775903,9.635046748,5.512534387,-7.551352701,-2.371175959
40,2.943851176,4997.056149,3.409638861,1.046687536,8.234999789,2.219579812,8.666259747,1.496327206,-1.670416536,6.691301484,0.994572074,1002.943851,6.23529E+14,-0.436990839,9.189666665,-0.096714436,6.001278492,2.928999383,7.075618153,3.070752278
41,-6.468877223,5006.468877,5.633047835,-1.754452262,6.362258135,1.971338742,41.84637253,-1.633196889,2.453210009,3.132390633,1.114301208,993.5311228,6.28241E+14,0.601056292,4.995176101,2.440578694,5.423215994,-5.808527659,2.690594877,0.662061337
42,2.222871669,4997.777128,4.66252472,2.503944876,9.757006485,2.089630858,4.941158455,2.654865891,2.450674576,2.209399135,-0.149019515,1002.222872,6.23889E+14,-1.226645481,6.678504969,-0.94912558,9.730628258,5.479060338,-6.431579534,1.652943605
43,-4.448023164,5004.448023,6.070022971,1.081184503,1.6479248,2.602024129,19.78491007,-0.997148094,-0.541137589,1.609338281,1.493301981,995.5519768,6.27227E+14,-0.282335276,6.051168158,-0.285906467,10.09201478,-2.500408412,-0.138747246,0.940625227
44,5.629037198,4994.370963,4.987127855,-1.885488458,3.582060814,1.934379577,31.68605978,0.167663384,-0.059915339,8.070185392,0.769952202,1005.629037,6.2219E+14,0.668026321,10.97468814,-0.990247826,5.181170446,-1.404452255,-1.335840165,-0.271328058
45,-3.88483829,5003.884838,1.642779119,1.934157523,1.583546552,0.857888909,15.09196854,-1.047749419,0.246309437,5.297572583,3.045008742,996.1151617,6.26945E+14,0.444435546,2.576457151,0.420184246,2.584070463,6.123488122,4.766465826,-2.213939423
46,0.003497034,4999.996503,9.317410441,3.443041402,3.517923198,2.51021234,1.22E-05,2.704234027,0.317454854,2.642196299,-1.92217672,1000.003497,6.24998E+14,-1.784412431,8.031984706,3.518156815,5.918564329,7.284438808,9.941955552,1.296123818
47,-3.027153279,5003.027153,6.304251586,0.697277123,10.72385748,2.840734126,9.163656975,1.819428785,1.475391412,2.539023768,-1.707683018,996.9728467,6.26515E+14,-1.258292035,4.374750632,0.90961526,6.760432361,2.669499037,5.92475985,0.946083683
48,5.806089986,4994.19391,5.243097631,3.187751689,9.21979235,1.140860237,33.71068093,-0.97843873,1.407088951,3.319617332,1.862836355,1005.80609,6.22102E+14,1.5946098,8.568845557,2.570992252,8.966713148,0.875219215,10.99712507,-1.438709474
49,3.355404748,4996.644595,9.75950981,1.019603953,5.599765091,1.466091601,11.25874102,-0.249706809,-0.124445515,3.964573306,3.06118466,1003.355405,6.23324E+14,2.974630701,5.409817841,2.084660594,7.422414437,-0.690696634,2.097149851,2.812282858
50,-1.119083925,5001.119084,2.763267217,-1.349643534,1.864206062,1.566689484,1.252348831,-0.559881004,-2.44549787,6.193979203,-1.985029878,998.8809161,6.2556E+14,0.724686654,4.290115998,0.267333451,10.89198335,1.467394489,5.639324002,2.759728247
51,1.160981963,4998.839018,10.20529362,3.009281203,2.417853565,-0.018161868,1.347879119,0.110713023,-0.107357507,7.597713004,-0.542358393,1001.160982,6.2442E+14,1.282348018,7.540066412,0.835221659,11.42753828,6.940109396,1.948572331,-1.339913825
52,-5.55988922,5005.559889,8.171118576,3.994464602,11.40829565,2.431339002,30.91236814,2.659417384,-2.79596781,8.292605505,3.339186023,994.4401108,6.27785E+14,0.035064609,1.907752781,2.684935475,3.455734912,2.973068085,-0.579317506,2.637639045
53,-6.361892025,5006.361892,8.806069406,0.43082685,5.92463379,-0.008065469,40.47367014,0.545817167,2.282333225,2.49376483,2.176186844,993.638108,6.28187E+14,1.197161759,3.598695625,-1.037632083,9.471334357,4.715790955,6.652874231,2.803950485
54,1.194893704,4998.805106,4.267975758,2.056497505,2.714822046,0.49502685,1.427770963,-1.070198449,-3.030186732,3.243255116,1.437516084,1001.194894,6.24403E+14,-0.285430544,11.5291664,3.562366328,7.484211967,-7.006490817,7.19072834,2.170877142
55,0.866001402,4999.133999,8.970455587,-0.388873786,4.030987381,1.575346897,0.749958428,-0.682897682,1.194006215,9.757399332,0.956689955,1000.866001,6.24567E+14,-0.673013585,11.02497635,0.450593252,3.536319582,9.323688671,-0.723263191,1.981039341
56,5.174960616,4994.825039,3.129584958,-0.38240499,5.100264931,2.812067445,26.78021738,2.100395769,-1.598598583,7.520233222,-0.214648244,1005.174961,6.22417E+14,1.133974761,2.669688005,3.741250612,10.21880262,5.72703142,0.746896299,-0.011158674
57,6.541912934,4993.458087,8.986356984,1.808255717,2.835189368,1.394249524,42.79662484,-1.346733137,-2.615850589,3.605947515,3.980595155,1006.541913,6.21735E+14,-2.501950159,2.516800321,-1.498700103,11.21269883,7.331982501,4.055237886,2.382700655
58,-0.721622955,5000.721623,6.145963537,2.798831716,3.832855115,0.462496583,0.520739689,1.439698379,0.179111374,7.297251553,0.721716579,999.278377,6.25361E+14,2.510114207,10.5914974,-1.923432765,7.289444011,-5.308159137,-7.089544729,1.974591804
59,-6.33490756,5006.334908,11.11875738,0.975797587,9.904154314,0.570106444,40.1310538,-0.323360202,-2.803724957,4.870749625,0.754627105,993.6650924,6.28173E+14,-1.834558485,10.4232365,1.21932339,4.244960104,6.683467418,-6.293718566,-2.912058137
60,-6.371005959,5006.371006,10.06811801,-1.31905114,7.995011433,2.723346579,40.58971693,-0.647095285,2.863772258,8.408937956,-0.66538649,993.628994,6.28192E+14,-2.808335292,5.522205497,-0.813242095,11.38760601,3.619489284,-0.235956212,-0.260133871
61,1.102272681,4998.897727,7.970928448,2.243719899,7.988300405,0.323840295,1.215005063,-1.973870409,1.103032029,5.019195544,-1.189956846,1001.102273,6.24449E+14,0.990527876,7.659159566,0.777279526,7.643044474,-4.80959258,11.54103836,-2.390299138
62,6.161837705,4993.838162,3.759839587,-0.437406268,9.719204481,1.548918219,37.9682439,-0.157142183,2.459011314,10.82115544,2.458078004,1006.161838,6.21925E+14,-2.336023356,3.321660863,0.564862925,6.114915834,1.298421569,0.537235201,0.371762106
63,0.864191148,4999.135809,11.32345142,-1.618666486,5.455986315,2.715292757,0.74682634,1.649300929,0.080974447,10.83968034,0.885728291,1000.864191,6.24568E+14,0.847045886,4.316175759,1.881118008,6.399126525,8.058910656,9.422084759,1.327539848
64,-5.414879381,5005.414879,8.787117327,0.058066271,8.068755573,2.062740972,29.32091871,-0.979862614,1.910720474,9.393155665,2.868374637,994.5851206,6.27712E+14,-3.129967449,6.996572351,-1.016782962,9.875414541,-7.216300277,2.375697438,-1.445460812
65,0.576343493,4999.423657,1.853300954,2.79709523,6.106922694,2.085995145,0.332171822,-0.378736726,-0.307138027,10.80989274,1.103653508,1000.576343,6.24712E+14,-0.990770843,8.475836072,0.324014389,2.861146163,8.527060247,-6.120821874,-3.162210325
66,1.837898372,4998.162102,6.63513506,-0.915657042,10.38282717,1.861904666,3.377870424,-1.4775184,-0.271788932,9.935147198,0.049466464,1001.837898,6.24082E+14,-1.30018295,5.176920469,-1.868776738,11.56001491,-1.55087497,7.618169955,-3.200385446
67,-0.637370647,5000.637371,8.721768461,1.745176141,11.65694458,0.446344065,0.406241342,-2.506959031,-2.626066502,3.881756272,-1.399128991,999.3626294,6.25319E+14,-1.010165636,10.5655487,-0.218692357,4.564790016,4.041919493,11.60117273,-2.922628961
68,-6.618573685,5006.618574,10.65844117,0.942588181,11.49169612,1.932639377,43.80551762,1.897599653,-0.956120682,6.273397363,2.232777664,993.3814263,6.28316E+14,2.326067009,8.342882948,2.656315682,9.50996446,-2.609930282,-7.520786242,-1.438192343
69,-6.882129362,5006.882129,10.52987668,1.053140943,9.50704914,2.063972922,47.36370455,1.787603038,2.738712503,5.474962008,1.925776007,993.1178706,6.28448E+14,-0.368016506,10.86086987,-1.648752692,8.929337236,4.215718047,4.937805972,-2.36614834
70,-6.585379893,5006.58538,6.315467829,2.426655102,2.947341491,1.335820688,43.36722834,-1.287057953,0.693023178,10.26781228,-0.332658456,993.4146201,6.28299E+14,2.694737312,3.009998792,0.369434941,2.434329607,-2.234221665,-5.89701129,-1.740006658
71,-3.032508493,5003.032508,5.064593534,2.410963294,4.955854098,0.201012925,9.196107759,-1.54642004,-0.352499785,4.797292429,3.861359591,996.9674915,6.26518E+14,1.42713345,9.473859341,3.177403456,11.35371771,7.473204731,-6.318075353,-1.799059559
72,-4.019544691,5004.019545,5.645974073,1.264007298,9.511799723,0.755319536,16.15673952,-1.447206769,-1.189890995,6.866168222,-1.83671919,995.9804553,6.27012E+14,-2.775355623,5.592308043,1.723916939,5.396776248,7.267553719,-4.447818894,2.105604343
73,5.863630101,4994.13637,4.452311761,-1.619513978,7.089902264,1.361808535,34.38215796,1.01271565,0.402378819,8.06490629,-1.166823607,1005.86363,6.22073E+14,-2.787140867,5.942824415,3.704417446,8.75923541,-3.234976472,9.443498472,2.679470155
74,-0.917892555,5000.917893,10.20469526,-1.843633552,11.83820427,0.393113007,0.842526742,0.672161541,0.387172085,7.827590568,-1.296602038,999.0821074,6.25459E+14,1.094854389,5.912231432,-0.537482313,9.439450056,8.260816063,9.968675831,-1.065749987
75,-5.970616686,5005.970617,7.814093211,1.50862273,8.248257122,0.098771021,35.64826361,0.954313389,1.527095827,9.365602244,1.887064712,994.0293833,6.27991E+14,0.954160191,9.849912834,2.608170742,4.824027898,11.39828965,7.807225958,2.040831368
76,4.712931149,4995.287069,11.70271516,-1.404638746,9.90110064,0.972628564,22.21172002,-1.748728075,-1.412313191,3.158615463,-0.106464893,1004.712931,6.22647E+14,-0.391617447,2.952154739,2.761328634,10.29517276,1.673859575,7.73285741,-2.72392515
77,-2.797077467,5002.797077,5.554396298,1.229135294,5.556292813,0.284487497,7.823642357,0.342701723,-0.296408168,5.556537862,-0.17115984,997.2029225,6.264E+14,-2.334675187,9.265465122,2.518471934,10.11006116,9.887532486,-3.242640221,-2.365240465
78,6.631632086,4993.368368,8.078160339,3.509621061,3.858526356,1.717599146,43.97854412,-1.705690621,2.629213424,3.674662517,-0.297603901,1006.631632,6.21691E+14,-0.901472205,4.987214441,2.761045592,6.503898141,5.859104278,-5.766278008,-3.25313041
79,-6.026654441,5006.026654,8.116077324,1.554578533,2.883376494,0.574757044,36.32056375,0.416655285,2.119613859,8.901703121,0.208839064,993.9733456,6.28019E+14,-2.081744276,5.610061723,0.56070379,8.867591706,0.856285173,1.779982556,-2.88659624
80,-6.264346249,5006.264346,4.958507723,2.396604702,7.893488733,0.123237627,39.24203393,0.844909037,-1.97094014,2.340269849,1.327663012,993.7356538,6.28138E+14,-2.873682716,3.924125106,2.085726397,3.675468167,-2.492136013,-3.68979196,-2.941266237
81,-6.747016009,5006.747016,2.798333117,-0.491228583,4.57526375,2.549506043,45.52222502,1.154252225,1.377033981,6.947750643,-1.424635897,993.252984,6.2838E+14,-1.611917866,10.79586124,2.878037018,2.022691381,-1.413211086,8.577801164,-2.774373619
82,-2.383815973,5002.383816,10.51499468,2.967278112,7.605683555,1.381663486,5.682578592,-0.049309131,0.125086821,8.225435817,3.235617464,997.616184,6.26193E+14,0.809699979,6.725932743,-0.06579376,5.568545786,0.627172769,11.546453,-1.500950902
83,-6.801958398,5006.801958,4.768048646,-0.739002185,10.76804675,2.230940343,46.26663805,1.04607519,-0.220319325,4.008076845,1.026159172,993.1980416,6.28408E+14,1.844734587,9.254244735,-1.457201974,6.760417375,-2.045716029,-4.239572634,-3.203759469
84,-4.214888285,5004.214888,2.2661029,3.147798213,3.510457603,2.510243833,17.76528326,-1.449216512,-2.181245963,8.559293881,-1.431183158,995.7851117,6.2711E+14,1.439467256,11.55505094,0.170059547,2.662010946,4.565903315,6.445648314,0.083406021
85,5.707407508,4994.292592,2.911714673,-0.833432409,5.641368909,1.862062029,32.57450046,-0.403588344,1.842367756,4.794645785,-1.296640799,1005.707408,6.22151E+14,2.006336959,3.166402996,2.388299442,7.824587565,4.869428503,10.00768352,0.6194103
86,4.971003882,4995.028996,11.26365534,-2.006590715,4.363719852,1.789946887,24.7108796,-0.775437141,-2.773197078,8.372710965,-1.831068972,1004.971004,6.22518E+14,2.290322457,2.709860911,1.111164878,9.895754575,2.004802401,4.348124322,-2.082806617
87,-4.420380195,5004.42038,2.725315402,1.262245148,10.90509437,0.837002918,19.53976107,-1.132459753,-0.121073747,5.020708964,-0.65803317,995.5796198,6.27213E+14,-2.516442165,8.593776214,2.613745178,8.539062322,-4.787219979,1.599586377,0.956298782
88,0.059560179,4999.94044,6.114368395,2.571642158,3.253022243,0.629968238,0.003547415,0.831951619,-1.749775747,10.73867404,-1.60088251,1000.05956,6.2497E+14,-0.95891575,3.499880887,0.716396656,5.47453119,8.876155146,-4.88186076,1.014735591
89,-7.237292516,5007.237293,10.96934323,3.749442139,6.7702846,1.203073137,52.37840296,1.299390809,-1.830816407,3.527620029,1.446179474,992.7627075,6.28627E+14,0.92011827,4.961788654,0.180582863,2.969263863,1.313693777,-0.73222021,-1.738437011
90,-7.379587834,5007.379588,2.156719649,1.592156807,8.541056766,2.062107228,54.4583166,1.448910278,0.495505172,10.99641267,-0.394305114,992.6204122,6.28698E+14,-1.720891397,3.119428152,-0.452975907,7.666532174,2.191274927,1.318628833,0.440517424
91,-6.926514138,5006.926514,8.137258287,-1.960395532,2.28879104,0.86732977,47.97659811,2.42978962,1.191095368,3.092232292,-0.404126819,993.0734859,6.2847E+14,-1.498545416,7.686614928,-0.288089365,6.775901227,12.03500665,4.825173868,-0.793938521
92,-6.41730373,5006.417304,2.243692704,1.132078871,3.26617738,1.58193184,41.18178716,-2.236260664,-3.126303309,6.16982308,-1.239360043,993.5826963,6.28215E+14,1.692423206,10.12772772,2.38450223,6.404023576,4.279468119,-4.918412805,0.596228714
93,5.232377475,4994.767623,3.854255816,1.234580895,4.157561712,0.208043035,27.37777405,-3.03366605,-1.004523763,6.375778677,-0.474924843,1005.232377,6.22388E+14,1.914645477,11.63609276,0.827496678,3.040973828,-2.293061896,11.54849955,-1.355648468
94,4.172280395,4995.82772,10.09087265,2.645409978,11.55317319,0.294369206,17.40792369,2.139386541,0.011111581,8.236453215,2.948222981,1004.17228,6.22916E+14,-2.854651744,4.428160574,-1.820358893,3.027694828,5.164840634,-7.347029676,1.378017217
95,3.479365232,4996.520635,3.594261197,2.444622496,6.7768476,1.239154404,12.10598242,0.145413741,-0.208644476,4.703388247,-0.8132064,1003.479365,6.23262E+14,1.248424606,2.128388662,-0.032054775,6.86218703,1.79606757,6.261601617,-1.245894409
96,-0.108529369,5000.108529,9.531952244,2.832777668,8.360516737,1.383921928,0.011778624,0.686917325,2.326729754,12.06715602,-0.365925703,999.8914706,6.25054E+14,-1.191815002,7.474243577,2.911683998,9.070499538,10.33286225,10.63900423,-3.264508369
97,-3.30358379,5003.303584,4.324291674,-0.647102822,11.96956669,0.906899287,10.91366586,2.430504677,-0.200098584,5.195683323,2.723864664,996.6964162,6.26653E+14,-0.357350566,11.1630824,2.500263281,3.855086802,11.3685161,8.778649744,-0.786842907
98,-3.7627164,5003.762716,3.274840623,-1.334196352,4.328304965,0.259050471,14.15803471,0.322094323,1.032676031,5.733040337,1.272883322,996.2372836,6.26883E+14,-2.825625184,5.853625984,-1.062412422,8.443661334,-6.949155704,11.80845884,0.923824431
99,-6.404795481,5006.404795,11.68661305,2.175891755,6.421783043,0.82885598,41.02140515,-1.402665506,-2.173126746,7.70761711,1.949474509,993.5952045,6.28209E+14,2.429265594,6.788364442,2.019957913,8.417219017,7.70113041,5.56287776,-0.47274017
100,1.043897188,4998.956103,4.47308052,1.507535617,11.68830882,1.745758242,1.089721339,-1.722220833,2.424800851,3.584808635,3.663812838,1001.043897,6.24478E+14,0.044251205,3.439466265,-1.156273033,2.564653126,5.50271052,-6.33353203,-2.972463686
101,0.624178224,4999.375822,9.452075849,-1.515923595,11.23409445,0.902208997,0.389598456,0.424414466,-2.01847974,3.812908699,-0.041776795,1000.624178,6.24688E+14,0.790373886,7.769790286,1.273766089,6.485011593,0.972445318,11.36805162,2.137805287
102,-4.708644739,5004.708645,7.173438332,1.801701952,11.94132724,1.148671588,22.17133528,0.037755856,-2.20080529,11.10487715,2.8103709,995.2913553,6.27358E+14,-1.221201924,4.786756605,0.636318686,5.885382609,9.04937006,8.03976501,-3.265392992
103,3.485781061,4996.514219,11.68651092,2.021436846,2.303577715,-0.515330623,12.1506696,-0.454187151,-0.072433224,10.97965184,-1.496307295,1003.485781,6.23259E+14,0.346922122,5.149440396,1.160203557,5.504861901,8.750547182,-3.285372736,-0.391120735
104,0.371995725,4999.628004,8.412892124,0.480818776,3.238111646,1.498694844,0.138380819,-0.537785124,-2.136879127,6.624625233,3.726924353,1000.371996,6.24814E+14,1.446628509,6.742643178,-1.886904248,2.87833129,10.49808709,6.318074841,-3.504382222
105,-3.958561387,5003.958561,9.51691572,0.048581397,2.822839654,2.2165478,15.67020825,-2.094811302,-0.968255685,10.10681907,-0.270638773,996.0414386,6.26982E+14,2.309071469,6.690975219,2.607844465,6.82739804,8.93807891,0.666603145,0.548958324
106,0.55339528,4999.446605,6.206683081,0.162962496,3.542940748,1.30272355,0.306246336,-0.085738874,-1.767449772,12.05033213,-1.040742336,1000.553395,6.24723E+14,-1.720748864,9.536756383,0.722439145,4.131098183,-7.373854052,5.690804562,-3.05081555
107,-2.337714645,5002.337715,4.987233994,1.201023492,3.267168144,0.860022879,5.464909761,-3.520222707,0.658928878,9.067070869,0.414342978,997.6622854,6.2617E+14,-0.339659754,6.430245229,-2.171441795,11.13133369,5.986157796,-5.123940823,-1.119588525
108,-3.095745956,5003.095746,4.377958142,0.713418709,8.171623282,1.671677726,9.583643024,-0.098616551,-0.155788844,6.283612884,0.584441511,996.904254,6.26549E+14,1.326454998,11.61381335,0.402033302,4.568367034,10.33772273,-2.149191667,-0.969872037
